feature,feature_group,uses_current_game_result,uses_future_game_result,uses_post_game_information,rolling_shift_applied,leakage_risk,audit_status,detail
avg_run_diff_last_10,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
avg_run_diff_last_5,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
back_to_back,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
elo_diff,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
games_last_7_days,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
head_to_head_win_rate_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
is_home,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_avg_run_diff_last_10,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_avg_run_diff_last_5,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_10_win_rate,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_5_win_rate,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
recent_10_win_rate,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
recent_10_win_rate_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
recent_5_win_rate,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
recent_5_win_rate_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
recent_run_diff_10_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
rest_days,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
season_avg_run_diff_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
season_win_rate_gap,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
season_win_rate_prior,baseline,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
venue_win_rate_gap,baseline,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
losing_streak_allowed_runs_spike,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
losing_streak_low_scoring_offense,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
losing_streak_with_negative_run_diff,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_current_streak_length,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_current_streak_type,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_losing_streak_flag,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_vs_losing_streak_flag,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_winning_streak_flag,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
streak_length_gap,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_current_streak_length,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_current_streak_type,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_losing_streak_flag,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_winning_streak_flag,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
winning_streak_after_close_games,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
winning_streak_bullpen_fatigue_proxy,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
winning_streak_regression_risk,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
winning_streak_with_low_run_diff,streak,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
allowed_std_gap,volatility,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_10_run_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_5_allowed_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_5_run_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
run_std_gap,volatility,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_10_run_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_5_allowed_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_5_run_std,volatility,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
actual_blowout_game,close_blowout,True,False,True,False,evaluation_only_excluded,pass_excluded_from_training,평가 세그먼트 전용 actual_* 필드이며 학습 피처 세트에는 포함하지 않음
actual_close_game,close_blowout,True,False,True,False,evaluation_only_excluded,pass_excluded_from_training,평가 세그먼트 전용 actual_* 필드이며 학습 피처 세트에는 포함하지 않음
actual_run_margin,close_blowout,True,False,True,False,evaluation_only_excluded,pass_excluded_from_training,평가 세그먼트 전용 actual_* 필드이며 학습 피처 세트에는 포함하지 않음
blowout_tendency_gap,close_blowout,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
close_game_rate_gap,close_blowout,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_10_blowout_loss_rate,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_10_blowout_win_rate,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_5_close_game_rate_exact,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_10_blowout_loss_rate,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_10_blowout_win_rate,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_5_close_game_rate,close_blowout,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
allowed_momentum_gap,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_allowed_momentum_3_vs_10,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_run_momentum_3_vs_10,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
run_momentum_gap,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_allowed_momentum_3_vs_10,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_run_momentum_3_vs_10,momentum,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_away_win_rate_prior,venue_context,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_recent_home_win_rate_prior,venue_context,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_away_win_rate_prior,venue_context,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_home_win_rate_prior,venue_context,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_recent_same_venue_run_diff,venue_context,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
venue_context_win_rate_gap,venue_context,False,False,False,False,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
month_run_diff_gap,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
month_win_rate_gap,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_month_run_diff_prior,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
opponent_month_win_rate_prior,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
season_phase,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_month_run_diff_prior,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
team_month_win_rate_prior,month_phase,False,False,False,True,low,pass,현재 경기 이전 기록 기반 feature set으로 관리
