feature_name,feature_group,description,data_type,allowed_timing,leakage_risk,current_implementation_status,missing_value_policy,expected_impact,feature_available_at,prediction_cutoff_at,is_available_before_cutoff,notes
kt_probable_starter_known,starting_pitcher_confirmed,KT probable starter is available before game day or morning cutoff,boolean,before_game_or_game_day_before_cutoff,low,schema_defined,false,high,before_game_or_game_day_before_cutoff,before first pitch,True,Do not backfill from post-game box score.
kt_confirmed_starter_known,starting_pitcher_confirmed,KT official confirmed starter is available before cutoff,boolean,game_day_before_cutoff,medium,live_collection_required,false,high,game_day_before_cutoff,before first pitch,True,Use only timestamped pregame source.
kt_starting_pitcher_rest_days,starting_pitcher_rest_days,KT starter days since previous appearance,number,before_game,low,historically_backfillable,null,high,before_game,before first pitch,True,Requires historical pitching appearance logs.
kt_starting_pitcher_last_3_game_era,starting_pitcher_recent_form,KT starter ERA over previous 3 appearances,number,before_game,low,historically_backfillable,league_average,high,before_game,before first pitch,True,Shift by one appearance.
kt_starting_pitcher_last_3_game_innings,starting_pitcher_recent_form,KT starter innings over previous 3 appearances,number,before_game,low,planned,league_average,medium,before_game,before first pitch,True,Shift by one appearance.
kt_starting_pitcher_last_3_game_pitch_count,starting_pitcher_recent_form,KT starter pitch count over previous 3 appearances,number,before_game,low,planned,null,medium,before_game,before first pitch,True,Needs pitch-count source.
kt_starting_pitcher_vs_opponent_prior_era,starting_pitcher_vs_opponent_history,KT starter prior ERA against opponent,number,before_game,low,planned,league_average,medium,before_game,before first pitch,True,Prior matchups only.
opponent_probable_starter_known,starting_pitcher_confirmed,Opponent probable starter is available,boolean,before_game_or_game_day_before_cutoff,low,planned,false,high,before_game_or_game_day_before_cutoff,before first pitch,True,No post-game source.
opponent_confirmed_starter_known,starting_pitcher_confirmed,Opponent confirmed starter is available before cutoff,boolean,game_day_before_cutoff,medium,planned,false,high,game_day_before_cutoff,before first pitch,True,Timestamp required.
opponent_starting_pitcher_rest_days,starting_pitcher_rest_days,Opponent starter rest days,number,before_game,low,planned,null,high,before_game,before first pitch,True,Historical appearance logs.
opponent_starting_pitcher_hand,opponent_starting_pitcher_hand,Opponent starter throwing hand,category,before_game_or_game_day_before_cutoff,low,planned,unknown,high,before_game_or_game_day_before_cutoff,before first pitch,True,Roster/static source acceptable.
kt_vs_left_handed_starter_prior_win_rate,kt_vs_pitcher_type_history,KT prior win rate against left-handed starters,number,before_game,low,planned,0.5,medium,before_game,before first pitch,True,Prior games only.
kt_vs_right_handed_starter_prior_win_rate,kt_vs_pitcher_type_history,KT prior win rate against right-handed starters,number,before_game,low,planned,0.5,medium,before_game,before first pitch,True,Prior games only.
