data_candidate,current_availability,automatic_collection,known_before_prediction,leakage_risk,expected_effect,implementation_difficulty
확정 선발투수,부분 확보,가능,경기 전 발표 후 가능,낮음,높음,중간
선발 최근 3경기 성적,미흡,가능,경기 전 가능,중간,높음,중간
선발 휴식일,부분 확보,가능,경기 전 가능,낮음,중간,낮음
불펜 최근 3일 실제 투구 수,미확보,수집기 필요,경기 전 가능,중간,높음,높음
전날 선발 이닝,미확보,가능,경기 전 가능,중간,중간,중간
라인업 확정 여부,표시용 확보,가능,경기 직전 가능,중간,중간,중간
팀 OPS / wRC+ 유사 지표,부분 확보,가능,경기 전 가능,낮음,중간,중간
구장별 득점 환경,미확보,가능,경기 전 가능,낮음,중간,중간
날씨,미확보,외부 API 필요,경기 전 가능,낮음,중간,높음
상대 선발 유형,미흡,가능,경기 전 가능,중간,중간,중간
좌우 투수/타자 매치업,미확보,수집기 필요,경기 전 가능,중간,높음,높음
