feature,feature_group,eligibility_tier,historical_source_available,live_source_available,can_use_for_training,can_use_for_today_prediction,leakage_risk,reason,recommended_action
starter_prior_era,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
starter_prior_whip,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
starter_recent3_era,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
starter_recent3_ip,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
starter_rest_days,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
starter_recent_pitch_count,starter,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
bullpen_pitch_count_last1d,bullpen,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
bullpen_pitch_count_last3d,bullpen,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
bullpen_appearances_last3d,bullpen,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
previous_game_run_diff,previous_game,A,yes,yes,true,true,low,팀의 직전 완료 경기 득실차는 현재 경기 이전 정보입니다.,후보 모델에서 사용
previous_game_bullpen_usage,previous_game,A,yes,yes,true,true,low,KBO 완료 경기 투수 로그에서 현재 경기 이전 기록만 집계합니다.,후보 모델 검증 후 운영 승격 여부 판단
team_recent_form,team_form,A,yes,yes,true,true,low,기존 rolling 피처는 shift/asof 기반으로 현재 경기 이전만 사용합니다.,운영 baseline 및 후보에서 계속 사용
confirmed_lineup,lineup,B,no,partial,false,true,high_without_snapshots,경기 전 라인업은 live/snapshot-only이며 과거 pregame 히스토리가 없습니다.,30일 이상 timestamped lineup snapshot 누적 후 실험
lineup_ops_gap,lineup,B,no,partial,false,true,high_without_snapshots,현재 선수 기록 스냅샷을 과거 경기에 붙이면 미래 정보 누수입니다.,과거 시점별 라인업/선수 스탯 스냅샷 필요
top5_lineup_ops_gap,lineup,B,no,partial,false,true,high_without_snapshots,과거 라인업과 당시 선수 OPS 스냅샷이 없습니다.,timestamped lineup feature store 구축
key_hitter_absence,key_hitter,B,no,no,false,false,high_without_snapshots,부상/결장 히스토리 원천이 없습니다.,공식 엔트리/라인업 결장 로그 수집
game_id_date_team,metadata,A,yes,yes,false,true,low,식별/조인 메타데이터이며 학습 피처가 아닙니다.,평가/감사용으로만 유지
